player_id,teamID,nameFirst,nameLast,score
herrj002,COL,Jonathan,Herrera,72.05999999999999
bonie001,TOR,Emilio,Bonifacio,71.84
rodrs002,TBA,Sean,Rodriguez,71.82999999999998
nievw001,ARI,Wil,Nieves,71.58
calla001,OAK,Alberto,Callaspo,71.00999999999999
bianj001,MIL,Jeff,Bianchi,70.99
ariaj001,SFN,Joaquin,Arias,70.92999999999999
flowt001,CHA,Tyler,Flowers,69.93999999999998
turnj001,NYN,Justin,Turner,69.6
forsl001,SDN,Logan,Forsythe,69.53
getzc001,KCA,Chris,Getz,69.41
galvf001,PHI,Freddy,Galvis,68.56
rodra001,NYA,Alex,Rodriguez,66.3
hairj002,LAN,Jerry,Hairston,66.08
murpd004,CHN,Donnie,Murphy,65.99000000000001
sotog001,TEX,Geovany,Soto,65.74
santr002,DET,Ramon,Santiago,64.4
garca003,CHA,Avisail,Garcia,63.41999999999999
corpc001,HOU,Carlos,Corporan,62.28
coghc001,MIA,Chris,Coghlan,62.160000000000004
bourp001,LAA,Peter,Bourjos,61.83
ransc001,CHN,Cody,Ransom,61.53
aschc001,PHI,Cody,Asche,61.44
tejam001,KCA,Miguel,Tejada,59.96
villj001,HOU,Jonathan,Villar,59.5
vanss001,LAN,Scott,"Van Slyke",58.89
bonie001,KCA,Emilio,Bonifacio,58.199999999999996
gutif001,SEA,Franklin,Gutierrez,58.05
browa003,NYN,Andrew,Brown,57.790000000000006
hoesl001,HOU,"L. J.",Hoes,57.699999999999996
torry001,COL,Yorvit,Torrealba,57.589999999999996
gonzm002,HOU,Marwin,Gonzalez,57.129999999999995
robid002,CIN,Derrick,Robinson,56.91
gindc001,MIL,Caleb,Gindl,56.81999999999999
bloow001,ARI,Willie,Bloomquist,55.51
rober002,TBA,Ryan,Roberts,54.31999999999999
zunim001,SEA,Mike,Zunino,53.86000000000001
pears001,BAL,Steve,Pearce,52.1
dankj002,CHA,Jordan,Danks,51.599999999999994
colac001,MIN,Chris,Colabello,51.19
herrc001,MIN,Chris,Herrmann,50.8
lairg001,ATL,Gerald,Laird,50.629999999999995
byrdm001,PIT,Marlon,Byrd,49.81
vogts001,OAK,Stephen,Vogt,49.5
crowt001,HOU,Trevor,Crowe,49.46
abret001,SFN,Tony,Abreu,48.73
sanch002,SFN,Hector,Sanchez,48.28000000000001
fedet001,LAN,Tim,Federowicz,47.519999999999996
hannj001,CIN,Jack,Hannahan,47.32
greeg002,LAA,Grant,Green,47.25
sierm001,TOR,Moises,Sierra,47.120000000000005
youne003,COL,Eric,Young,47
bartd001,OAK,Daric,Barton,46.870000000000005
reynm001,NYA,Mark,Reynolds,45.989999999999995
maxwj002,KCA,Justin,Maxwell,45.83
gosea001,TOR,Anthony,Gose,45.6
maxwj002,HOU,Justin,Maxwell,43.279999999999994
iglej001,DET,Jose,Iglesias,43.16
valdj002,NYN,Jordany,Valdespin,41.65
kottg001,KCA,George,Kottaras,41.419999999999995
ludwr001,CIN,Ryan,Ludwick,41.28
johnr008,ATL,Reed,Johnson,40.82
kraum001,HOU,Marc,Krauss,40.79
hairs001,CHN,Scott,Hairston,40.72
kotsm001,SDN,Mark,Kotsay,40.56999999999999
presa001,MIN,Alex,Presley,40.44
hernc005,PHI,Cesar,Hernandez,40.37
dejed001,TBA,David,DeJesus,39.77
penar002,ATL,Ramiro,Pena,39.61
ceder002,SDN,Ronny,Cedeno,39.45
halts002,MIL,Sean,Halton,39.16
nelsc001,LAA,Chris,Nelson,38.699999999999996
iztuc001,CIN,Cesar,Izturis,38.58
pintj001,MIN,Josmil,Pinto,38.339999999999996
mckem001,PIT,Michael,McKenry,37.809999999999995
ceder002,HOU,Ronny,Cedeno,37.73
baxtm001,NYN,Mike,Baxter,37.58
culbc001,COL,Charlie,Culberson,37.16
adamd001,NYA,David,Adams,37.13
franj005,ATL,Juan,Francisco,36.83
grany001,SDN,Yasmani,Grandal,36.77
reimn001,BAL,Nolan,Reimold,35.94
tracc001,WAS,Chad,Tracy,35.8
romia002,NYA,Austin,Romine,35.559999999999995
casia001,BAL,Alexi,Casilla,35.239999999999995
bernr001,WAS,Roger,Bernadina,34.67
cruzt002,SLN,Tony,Cruz,34.64
johne002,KCA,Elliot,Johnson,34.599999999999994
johne002,ATL,Elliot,Johnson,34.44
dickc001,BAL,Chris,Dickerson,33.89
nieuk001,NYN,Kirk,Nieuwenhuis,33.65
youkk001,NYA,Kevin,Youkilis,33.6
lavar001,BOS,Ryan,Lavarnway,33.6
espid001,WAS,Danny,Espinosa,33.1
shopk001,SEA,Kelly,Shoppach,32.51
davim005,ARI,Matt,Davidson,32.459999999999994
almoz001,NYA,Zoilo,Almonte,31.75
tholj001,TOR,Josh,Thole,31.409999999999997
pillb001,SFN,Brett,Pill,31.17
pillk001,TOR,Kevin,Pillar,30.99
bradj001,BOS,Jackie,Bradley,30.78
harrb001,LAA,Brendan,Harris,30.729999999999997
gordd002,LAN,Dee,Gordon,30.63
montj003,SEA,Jesus,Montero,30.52
perej002,SFN,Juan,Perez,29.48
florw001,NYN,Wilmer,Flores,29
mornj001,PIT,Justin,Morneau,28.52
borbj001,CHN,Julio,Borbon,28.419999999999998
darnt001,NYN,Travis,d'Arnaud,27.59
cowgc001,LAA,Collin,Cowgill,27.53
almoa001,SEA,Abraham,Almonte,27.49
blanh001,SEA,Henry,Blanco,27.419999999999998
garca003,DET,Avisail,Garcia,27.169999999999998
yound003,TBA,Delmon,Young,26.75
jimel002,LAA,Luis,Jimenez,26.630000000000003
